S,AP,F,I,,,,,
L,05,BIF,05,,,,,
L,05,CEV,05,,,,,
L,05,CIV,05,,,,,
L,05,CIB,05,,,,,
L,05,SEV,05,,,,,
L,05,SIV,05,,,,,
L,05,SIH,05,,,,,
L,05,SEH,05,,,,,
L,05,SIW,05,,,,,
L,05,BEH,20,,,,,
L,05,BEF,20,,,,,
L,05,BIF,20,,,,,
L,05,CEV,20,,,,,
L,05,CIV,20,,,,,
L,05,CIB,20,,,,,
L,05,SEV,20,,,,,
L,05,SIV,20,,,,,
L,05,SIH,20,,,,,
L,05,SEH,20,,,,,
L,05,SIW,20,,,,,
L,15,BUI,00,,,,,
L,15,CUI,00,,,,,
L,15,SUI,00,,,,,
L,15,BEH,05,,,,,
L,15,BEF,05,,,,,
L,15,BIF,05,,,,,
L,15,CEV,05,,,,,
L,15,CIV,05,,,,,
L,15,CIB,05,,,,,
L,15,SEV,05,,,,,
L,15,SIV,05,,,,,
L,15,SIH,05,,,,,
L,15,SEH,05,,,,,
L,15,SIW,05,,,,,
L,15,BEH,20,,,,,
L,15,BEF,20,,,,,
L,15,BIF,20,,,,,
L,15,CEV,20,,,,,
L,15,CIV,20,,,,,
L,15,CIB,20,,,,,
L,15,SEV,20,,,,,
L,15,SIV,20,,,,,
L,15,SIH,20,,,,,
L,15,SEH,20,,,,,
L,15,SIW,20,,,,,
L,45,BUI,00,,,,,
L,45,CUI,00,,,,,
L,45,SUI,00,,,,,
L,45,BEH,05,,,,,
L,45,BEF,05,,,,,
L,45,BIF,05,,,,,
L,45,CEV,05,,,,,
L,45,CIV,05,,,,,
L,45,CIB,05,,,,,
L,45,SEV,05,,,,,
L,45,SIV,05,,,,,
L,45,SIH,05,,,,,
L,45,SEH,05,,,,,
L,45,SIW,05,,,,,
L,45,BEH,20,,,,,
L,45,BEF,20,,,,,
L,45,BIF,20,,,,,
L,45,CEV,20,,,,,
L,45,CIV,20,,,,,
L,45,CIB,20,,,,,
L,45,SEV,20,,,,,
L,45,SIV,20,,,,,
L,45,SIH,20,,,,,
L,45,SEH,20,,,,,
L,45,SIW,20,,,,,
S,05,BUI,00,,,,,
S,05,CUI,00,,,,,
S,05,SUI,00,,,,,
S,05,BEH,05,,,,,
S,05,BEF,05,,,,,
S,05,BIF,05,,,,,
S,05,CEV,05,,,,,
S,05,CIV,05,,,,,
S,05,CIB,05,,,,,
S,05,SEV,05,,,,,
S,05,SIV,05,,,,,
S,05,SIH,05,,,,,
S,05,SEH,05,,,,,
S,05,SIW,05,,,,,
S,05,BEH,20,,,,,
S,05,BEF,20,,,,,
S,05,BIF,20,,,,,
S,05,CEV,20,,,,,
S,05,CIV,20,,,,,
S,05,CIB,20,,,,,
S,05,SEV,20,,,,,
S,05,SIV,20,,,,,
S,05,SIH,20,,,,,
S,05,SEH,20,,,,,
S,05,SIW,20,,,,,
S,15,BUI,00,,,,,
S,15,CUI,00,,,,,
S,15,SUI,00,,,,,
S,15,BEH,05,,,,,
S,15,BEF,05,,,,,
S,15,BIF,05,,,,,
S,15,CEV,05,,,,,
S,15,CIV,05,,,,,
S,15,CIB,05,,,,,
S,15,SEV,05,,,,,
S,15,SIV,05,,,,,
S,15,SIH,05,,,,,
S,15,SEH,05,,,,,
S,15,SIW,05,,,,,
S,15,BEH,20,,,,,
S,15,BEF,20,,,,,
S,15,BIF,20,,,,,
S,15,CEV,20,,,,,
S,15,CIV,20,,,,,
S,15,CIB,20,,,,,
S,15,SEV,20,,,,,
S,15,SIV,20,,,,,
S,15,SIH,20,,,,,
S,15,SEH,20,,,,,
S,15,SIW,20,,,,,
S,45,BUI,00,,,,,
S,45,CUI,00,,,,,
S,45,SUI,00,,,,,
S,45,BEH,05,,,,,
S,45,BEF,05,,,,,
S,45,BIF,05,,,,,
S,45,CEV,05,,,,,
S,45,CIV,05,,,,,
S,45,CIB,05,,,,,
S,45,SEV,05,,,,,
S,45,SIV,05,,,,,
S,45,SIH,05,,,,,
S,45,SEH,05,,,,,
S,45,SIW,05,,,,,
S,45,BEH,20,,,,,
S,45,BEF,20,,,,,
S,45,BIF,20,,,,,
S,45,CEV,20,,,,,
S,45,CIV,20,,,,,
S,45,CIB,20,,,,,
S,45,SEV,20,,,,,
S,45,SIV,20,,,,,
S,45,SIH,20,,,,,
S,45,SEH,20,,,,,
S,45,SIW,20,,,,,
#,05,BUI,00,875.7,33.028,33.028,10.757,10
#,05,CUI,00,875.7,33.028,33.028,10.757,10
#,05,SUI,00,875.7,33.028,33.028,10.757,10
#,05,BEH,05,875.7,33.028,33.028,10.757,10
#,05,BEF,05,875.7,33.028,33.028,10.757,10
#,05,BIF,05,875.7,33.028,33.028,10.757,10
#,05,CEV,05,875.7,33.028,33.028,10.757,10
#,05,CIV,05,875.7,33.028,33.028,10.757,10
#,05,CIB,05,875.7,33.028,33.028,10.757,10
#,05,SEV,05,875.7,33.028,33.028,10.757,10
#,05,SIV,05,875.7,33.028,33.028,10.757,10
#,05,SIH,05,875.7,33.028,33.028,10.757,10
#,05,SEH,05,875.7,33.028,33.028,10.757,10
#,05,SIW,05,875.7,33.028,33.028,10.757,10
#,05,BEH,20,875.7,33.028,33.028,10.757,10
#,05,BEF,20,875.7,33.028,33.028,10.757,10
#,05,BIF,20,875.7,33.028,33.028,10.757,10
#,05,CEV,20,875.7,33.028,33.028,10.757,10
#,05,CIV,20,875.7,33.028,33.028,10.757,10
#,05,CIB,20,875.7,33.028,33.028,10.757,10
#,05,SEV,20,875.7,33.028,33.028,10.757,10
#,05,SIV,20,875.7,33.028,33.028,10.757,10
#,05,SIH,20,875.7,33.028,33.028,10.757,10
#,05,SEH,20,875.7,33.028,33.028,10.757,10
#,05,SIW,20,875.7,33.028,33.028,10.757,10
#,15,BUI,00,6332,82.426,82.426,23.107,10
#,15,CUI,00,6332,82.426,82.426,23.107,10
#,15,SUI,00,6332,82.426,82.426,23.107,10
#,15,BEH,05,6332,82.426,82.426,23.107,10
#,15,BEF,05,6332,82.426,82.426,23.107,10
#,15,BIF,05,6332,82.426,82.426,23.107,10
#,15,CEV,05,6332,82.426,82.426,23.107,10
#,15,CIV,05,6332,82.426,82.426,23.107,10
#,15,CIB,05,6332,82.426,82.426,23.107,10
#,15,SEV,05,6332,82.426,82.426,23.107,10
#,15,SIV,05,6332,82.426,82.426,23.107,10
#,15,SIH,05,6332,82.426,82.426,23.107,10
#,15,SEH,05,6332,82.426,82.426,23.107,10
#,15,SIW,05,6332,82.426,82.426,23.107,10
#,15,BEH,20,6332,82.426,82.426,23.107,10
#,15,BEF,20,6332,82.426,82.426,23.107,10
#,15,BIF,20,6332,82.426,82.426,23.107,10
#,15,CEV,20,6332,82.426,82.426,23.107,10
#,15,CIV,20,6332,82.426,82.426,23.107,10
#,15,CIB,20,6332,82.426,82.426,23.107,10
#,15,SEV,20,6332,82.426,82.426,23.107,10
#,15,SIV,20,6332,82.426,82.426,23.107,10
#,15,SIH,20,6332,82.426,82.426,23.107,10
#,15,SEH,20,6332,82.426,82.426,23.107,10
#,15,SIW,20,6332,82.426,82.426,23.107,10
#,45,BUI,00,52685,232.154,232.154,60.538,10
#,45,CUI,00,52685,232.154,232.154,60.538,10
#,45,SUI,00,52685,232.154,232.154,60.538,10
#,45,BEH,05,52685,232.154,232.154,60.538,10
#,45,BEF,05,52685,232.154,232.154,60.538,10
#,45,BIF,05,52685,232.154,232.154,60.538,10
#,45,CEV,05,52685,232.154,232.154,60.538,10
#,45,CIV,05,52685,232.154,232.154,60.538,10
#,45,CIB,05,52685,232.154,232.154,60.538,10
#,45,SEV,05,52685,232.154,232.154,60.538,10
#,45,SIV,05,52685,232.154,232.154,60.538,10
#,45,SIH,05,52685,232.154,232.154,60.538,10
#,45,SEH,05,52685,232.154,232.154,60.538,10
#,45,SIW,05,52685,232.154,232.154,60.538,10
#,45,BEH,20,52685,232.154,232.154,60.538,10
#,45,BEF,20,52685,232.154,232.154,60.538,10
#,45,BIF,20,52685,232.154,232.154,60.538,10
#,45,CEV,20,52685,232.154,232.154,60.538,10
#,45,CIV,20,52685,232.154,232.154,60.538,10
#,45,CIB,20,52685,232.154,232.154,60.538,10
#,45,SEV,20,52685,232.154,232.154,60.538,10
#,45,SIV,20,52685,232.154,232.154,60.538,10
#,45,SIH,20,52685,232.154,232.154,60.538,10
#,45,SEH,20,52685,232.154,232.154,60.538,10
#,45,SIW,20,52685,232.154,232.154,60.538,10
H,05,BUI,00,12504,420.163,420.163,205.041,400
H,05,CUI,00,12504,420.163,420.163,205.041,400
H,05,SUI,00,12504,420.163,420.163,205.041,400
H,05,BEH,05,12504,420.163,420.163,205.041,400
H,05,BEF,05,12504,420.163,420.163,205.041,400
H,05,BIF,05,12504,420.163,420.163,205.041,400
H,05,CEV,05,12504,420.163,420.163,205.041,400
H,05,CIV,05,12504,420.163,420.163,205.041,400
H,05,CIB,05,12504,420.163,420.163,205.041,400
H,05,SEV,05,12504,420.163,420.163,205.041,400
H,05,SIV,05,12504,420.163,420.163,205.041,400
H,05,SIH,05,12504,420.163,420.163,205.041,400
H,05,SEH,05,12504,420.163,420.163,205.041,400
H,05,SIW,05,12504,420.163,420.163,205.041,400
H,05,BEH,20,12504,420.163,420.163,205.041,400
H,05,BEF,20,12504,420.163,420.163,205.041,400
H,05,BIF,20,12504,420.163,420.163,205.041,400
H,05,CEV,20,12504,420.163,420.163,205.041,400
H,05,CIV,20,12504,420.163,420.163,205.041,400
H,05,CIB,20,12504,420.163,420.163,205.041,400
H,05,SEV,20,12504,420.163,420.163,205.041,400
H,05,SIV,20,12504,420.163,420.163,205.041,400
H,05,SIH,20,12504,420.163,420.163,205.041,400
H,05,SEH,20,12504,420.163,420.163,205.041,400
H,05,SIW,20,12504,420.163,420.163,205.041,400
H,15,BUI,00,40604,461.392,461.392,215.348,400
H,15,CUI,00,40604,461.392,461.392,215.348,400
H,15,SUI,00,40604,461.392,461.392,215.348,400
H,15,BEH,05,40604,461.392,461.392,215.348,400
H,15,BEF,05,40604,461.392,461.392,215.348,400
H,15,BIF,05,40604,461.392,461.392,215.348,400
H,15,CEV,05,40604,461.392,461.392,215.348,400
H,15,CIV,05,40604,461.392,461.392,215.348,400
H,15,CIB,05,40604,461.392,461.392,215.348,400
H,15,SEV,05,40604,461.392,461.392,215.348,400
H,15,SIV,05,40604,461.392,461.392,215.348,400
H,15,SIH,05,40604,461.392,461.392,215.348,400
H,15,SEH,05,40604,461.392,461.392,215.348,400
H,15,SIW,05,40604,461.392,461.392,215.348,400
H,15,BEH,20,40604,461.392,461.392,215.348,400
H,15,BEF,20,40604,461.392,461.392,215.348,400
H,15,BIF,20,40604,461.392,461.392,215.348,400
H,15,CEV,20,40604,461.392,461.392,215.348,400
H,15,CIV,20,40604,461.392,461.392,215.348,400
H,15,CIB,20,40604,461.392,461.392,215.348,400
H,15,SEV,20,40604,461.392,461.392,215.348,400
H,15,SIV,20,40604,461.392,461.392,215.348,400
H,15,SIH,20,40604,461.392,461.392,215.348,400
H,15,SEH,20,40604,461.392,461.392,215.348,400
H,15,SIW,20,40604,461.392,461.392,215.348,400
H,45,BUI,00,150943,590.86,590.86,247.715,400
H,45,CUI,00,150943,590.86,590.86,247.715,400
H,45,SUI,00,150943,590.86,590.86,247.715,400
H,45,BEH,05,150943,590.86,590.86,247.715,400
H,45,BEF,05,150943,590.86,590.86,247.715,400
H,45,BIF,05,150943,590.86,590.86,247.715,400
H,45,CEV,05,150943,590.86,590.86,247.715,400
H,45,CIV,05,150943,590.86,590.86,247.715,400
H,45,CIB,05,150943,590.86,590.86,247.715,400
H,45,SEV,05,150943,590.86,590.86,247.715,400
H,45,SIV,05,150943,590.86,590.86,247.715,400
H,45,SIH,05,150943,590.86,590.86,247.715,400
H,45,SEH,05,150943,590.86,590.86,247.715,400
H,45,SIW,05,150943,590.86,590.86,247.715,400
H,45,BEH,20,150943,590.86,590.86,247.715,400
H,45,BEF,20,150943,590.86,590.86,247.715,400
H,45,BIF,20,150943,590.86,590.86,247.715,400
H,45,CEV,20,150943,590.86,590.86,247.715,400
H,45,CIV,20,150943,590.86,590.86,247.715,400
H,45,CIB,20,150943,590.86,590.86,247.715,400
H,45,SEV,20,150943,590.86,590.86,247.715,400
H,45,SIV,20,150943,590.86,590.86,247.715,400
H,45,SIH,20,150943,590.86,590.86,247.715,400
H,45,SEH,20,150943,590.86,590.86,247.715,400
H,45,SIW,20,150943,590.86,590.86,247.715,400
